publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-24T03:58:10Z,@Veni-jr7ev,Bapak Jokowidodo terimakasih banyak y pak. Tetap do&#39;akan bangsa negara ini spy terus lbh baik. Pertanian baik. Perekonomian rakyat sejahterah.,0
2024-10-24T03:39:53Z,@HENDRASUS,"Jiwaku bergetar ketika Bpk Prabowo Pidato terutama menyembut nama&quot; undangan Negara tanpa teks, keren🎉",0
2024-10-24T03:15:51Z,@Adya_Rafail,"Sebuah lagu dari anakq..untuk pejuang<br><a href=""https://www.youtube.com/watch?v=HMUHZU7zgic"">https://youtu.be/HMUHZU7zgic?si=7xcnQdNjH7wzH73Q</a>",0
2024-10-24T01:35:00Z,@ninadargi1704,Trima kasih bpak jokowi perjuanganmu tdak pernah terlupakan sudah bnyak monolong orang&quot;sperti kmi smoga bpak jokowi dn ibu irana sht slalu dn pnjang umur nya Aamiiin dn smoga bpak persiden pak prabowo pnerus yg baik untuk Indonesia Aamiiin slamat berjuang 💪💪💪💪💪❤️❤️❤️❤️❤️,0
2024-10-24T00:15:52Z,@WahyuBudiman-ir9zi,"Agung hercules, Istri Hary tobando",0
2024-10-23T20:06:39Z,@Kaharuddin-p8b,Kami terharu meneteskan air mata melihat dan mendengarkan pidato kebijakan hati nurani beliau mengajak bersatu dengan lawan politiknya dan mengenang jasa para pahlawan dan pemimpin/presiden yg mendauhuluinya serta perduli rakyatnya❤😭❤,0
2024-10-23T19:51:06Z,@Kaharuddin-p8b,BAPAK PRABOWO LAYAK JADI PRESIDEN SEUMUR HIDUP❤❤❤,0
2024-10-23T19:49:41Z,@Kaharuddin-p8b,Kami terharu kepedulian beliau dari kampanye hingga pelantikan sebagai presiden tetap berkomitmen peduli rakyatnya dan berdamai dengan lawan politiknya sungguh muliyah hati beliau❤❤❤,0
2024-10-23T19:43:51Z,@Kaharuddin-p8b,Beliau tegas tapi berjiwa malaikat tidak salah seluruh rakyat indonesia memilih beliau... Selamat buat beliau sehat slalu panjang umur Insya&#39;Allah 🤲💗🤲,0
2024-10-23T19:39:24Z,@Kaharuddin-p8b,Bapak Prabowo punya hati nurani bijaksana tidak menaruh dendam lawan politiknya jiwa negarawan yg peduli rakyatnya layak jadi panutan motifasi bagi pejabat/pemimpin kedepannya,3
2024-10-23T19:25:34Z,@Kaharuddin-p8b,Insya&#39;Allah Indonesia banyak perubahan dan sesuai ramalan di bergai pihak bahwa Insya&#39;Allah presiden ke 8 membawa perubahan NKRI🤲💗🤲,0
2024-10-23T19:13:24Z,@Kaharuddin-p8b,Rakyat indonesia tidak salah memilih presiden dan wapres kedua beliau ramah santun dan berwibawa Insya&#39;Allah amanah untuk rakyat NKRI🤲💗🤲,0
2024-10-23T17:39:21Z,@Istiqmh-r2y,MasyaAllah bapak panutan sekali sebelum dilantik menyambut dan memberi arahan semua tamu negara dg santun 🫶🏻🫶🏻🫶🏻,0
2024-10-23T17:31:04Z,@MS12365,"Paling benci tengok Wapres karbitan,,,, moga kelak kayak K.H.Ma&#39;ruf cuma jadi pajangan doang..amin",0
2024-10-24T11:07:49Z,@cosmos5192,"Kalo diem doang buat apa ada wakil gilaaa, kalo mauu doanya yg baik. Semoga wapresnya membuktikan kemampuannya mengiringi program yg dituju oleh presiden. Doa buat negara sendiri ko jelek!!!",0
2024-10-23T17:14:43Z,@PajiADH,Memang tulus pak Prabowo ini..dengan ucapan almarhum gusdur,0
2024-10-23T14:57:45Z,@Neroliquid,"selamat bertugas pak prabowo serta terima kasih untuk pak jokowi atas 10 tahun nya, semoga sehat selalu amin :)",1
2024-10-23T14:51:07Z,@okebos2656,"Tolong Pak prabowo.generasi muda sangat memperhatikan sekarang ini,anak anak muda jaman sekarang banyak yang mengkomsumsi obat tramadol.<br>Saya sudah sering lapor ke polsek.polres tapi tetap tidak ada tindakan.. malah pengedar pada kordinasi sama polisi. <br>Tolong pak jangan sampe rusak generasi muda ini oleh oknum bajingan. <br>Hampir semua oknum polisi terlibat pak. Saya bingung pak mau lapor kemana lagi . <br>Ya allah semoga pemerintah ada yg mendengar keluhan saya 😢",0
2024-10-23T14:49:50Z,@gitapranata3894,Macan asia akan bangun lagi,0
2024-10-23T14:47:10Z,@desiramasari08,Terimakasih bpk Jokowi atas pengambiadan bpk selama ini. Untuk pak Prabowo selamat menjadi pemimpin bangsa Indonesia. Semoga menjadikan bangsa ini lebih baik dan lebih maju.,1
2024-10-23T14:29:03Z,@miftahulfutuh,❤,0
2024-10-23T14:16:55Z,@bayukentalmanis1906,"<a href=""https://www.youtube.com/watch?v=0LYmM9TgR8I&amp;t=7908"">2:11:48</a>",1
2024-10-23T13:59:47Z,@abibarca8662,"<a href=""https://www.youtube.com/watch?v=0LYmM9TgR8I&amp;t=5745"">1:35:45</a> lucu sekali",0
2024-10-23T13:33:52Z,@rifkyhardiansyah2334,"Pak Anis sama pak Ganjar, pasti kesel liat ini, sabar ya pak, oke gas okeee gas, nomer 02 tancap gas 🎉❤❤❤",0
2024-10-23T12:56:47Z,@gudangjati-iy9wr,"Kenapa ya Indonesia ga buat akun youtube, terus suruh seluruh masyarakat Indonesia subscribe,kan lumayan auto klah mr. beast😂😂😅",0
2024-10-23T12:51:11Z,@ahmadbagirrizalubaidillah4367,selamat untuk pak presiden prabowo subianto dan wakil presiden mas gibran rakabuming raka semoga membawa indonesia lebih makmur,0
2024-10-23T12:16:43Z,@rinawarman7958,"Sangkuni ko&#39; duduknya di grub B ? Itu kan tempat nya orang² terhormat , tempatnya mantan² presiden dan wakil presiden . Tu kan kurang gimana coba baiknya presiden jokowi dan prabowo , segitu di nyinyirin , tapi masih dikasi tempat terhormat .",0
2024-10-23T11:44:17Z,@RehanAntasenaMahendra,Rapat opo to ki mbok Yo biasa wae ilo,0
2024-10-23T11:49:00Z,@muhammadzikry2744,Minggat o cah bayi,0
2024-10-23T11:51:29Z,@ardoo021,Iyo kui,0
2024-10-23T10:43:11Z,@DheNuraidah-s5n,"Alhamdulillah wa syukurillah ya Allah presidenku kini telah gagah berdiri memimpin NKRI, selamat bertugas pak,kamu titipkan semua harapan dan impian yang terbaik bagi negri ini tercinta NEGARA KESATUAN REPUBLIK INDONESIA,terutama keluarga kita saudara kita di Papua, <a href=""http://www.youtube.com/results?search_query=%23savepapua"">#SAVEPAPUA</a>",0
2024-10-23T10:30:34Z,@Aku_SukaAgoti,&quot;Datang sabagai pemula pulang sebagai legenda.&quot;,0
2024-10-23T10:26:57Z,@rinawarman7958,"Brisik sekali suara dari panggung rakyat , cari tempat ko&#39; ya dekat dengan panggung rakyat , ngeganggu banget .",0
2024-10-23T09:28:17Z,@a7xfans-d3v,"min saya fotografer dan videografer pun bisa, gimana cara biar bisa ikut fotoin pak presiden?",0
