text_clean,text_preprocess
bpk prabowo dn mas gibran selamat bertugas smg amanah bawalah rakyat kecil kyk sy ini lbh sejahterah bukanlah sebanyaknya pintu utk mncari rizky buat anak muda negri ini bs maju dn berkembang d negri sendiri brkorupsi tolong berantas tuntas,"['bpk', 'prabowo', 'dn', 'mas', 'gibran', 'selamat', 'tugas', 'smg', 'amanah', 'bawa', 'rakyat', 'kyk', 'sy', 'lbh', 'sejahterah', 'banyak', 'pintu', 'utk', 'mncari', 'rizky', 'anak', 'muda', 'negri', 'bs', 'maju', 'dn', 'kembang', 'd', 'negri', 'brkorupsi', 'tolong', 'berantas', 'tuntas']"
bapak jokowidodo terimakasih banyak y pak tetap doakan bangsa negara ini spy terus lbh baik pertanian baik perekonomian rakyat sejahterah,"['jokowidodo', 'terimakasih', 'y', 'doa', 'bangsa', 'negara', 'spy', 'lbh', 'tani', 'ekonomi', 'rakyat', 'sejahterah']"
jiwaku bergetar ketika bpk prabowo pidato terutama menyembut namaquot undangan negara tanpa teks keren,"['jiwa', 'getar', 'bpk', 'prabowo', 'pidato', 'menyembut', 'namaquot', 'undang', 'negara', 'teks', 'keren']"
sebuah lagu dari anakquntuk pejuangbra href,"['lagu', 'anakquntuk', 'pejuangbra', 'href']"
trima kasih bpak jokowi perjuanganmu tdak pernah terlupakan sudah bnyak monolong orangquotsperti kmi smoga bpak jokowi dn ibu irana sht slalu dn pnjang umur nya aamin dn smoga bpak persiden pak prabowo pnerus yg baik untuk indonesia aamin slamat berjuang ,"['trima', 'kasih', 'bpak', 'jokowi', 'juang', 'tdak', 'lupa', 'bnyak', 'monolong', 'orangquotsperti', 'kmi', 'smoga', 'bpak', 'jokowi', 'dn', 'irana', 'sht', 'slalu', 'dn', 'pnjang', 'umur', 'nya', 'aamin', 'dn', 'smoga', 'bpak', 'persiden', 'prabowo', 'pnerus', 'yg', 'indonesia', 'aamin', 'slamat', 'juang']"
agung hercules istri hary tobando,"['agung', 'hercules', 'istri', 'hary', 'tobando']"
kami terharu meneteskan air mata melihat dan mendengarkan pidato kebijakan hati nurani beliau mengajak bersatu dengan lawan politiknya dan mengenang jasa para pahlawan dan pemimpinpresiden yg mendauhuluinya serta perduli rakyatnya,"['haru', 'tetes', 'air', 'mata', 'dengar', 'pidato', 'bijak', 'hati', 'nurani', 'beliau', 'ajak', 'satu', 'lawan', 'politik', 'kenang', 'jasa', 'pahlawan', 'pemimpinpresiden', 'yg', 'mendauhuluinya', 'duli', 'rakyat']"
bapak prabowo layak jadi presiden seumur hidup,"['prabowo', 'layak', 'presiden', 'umur', 'hidup']"
kami terharu kepedulian beliau dari kampanye hingga pelantikan sebagai presiden tetap berkomitmen peduli rakyatnya dan berdamai dengan lawan politiknya sungguh muliyah hati beliau,"['haru', 'peduli', 'beliau', 'kampanye', 'lantik', 'presiden', 'komitmen', 'peduli', 'rakyat', 'damai', 'lawan', 'politik', 'sungguh', 'muliyah', 'hati', 'beliau']"
beliau tegas tapi berjiwa malaikat tidak salah seluruh rakyat indonesia memilih beliau selamat buat beliau sehat slalu panjang umur insyaallah ,"['beliau', 'jiwa', 'malaikat', 'salah', 'rakyat', 'indonesia', 'pilih', 'beliau', 'selamat', 'beliau', 'sehat', 'slalu', 'umur', 'insyaallah']"
bapak prabowo punya hati nurani bijaksana tidak menaruh dendam lawan politiknya jiwa negarawan yg peduli rakyatnya layak jadi panutan motifasi bagi pejabatpemimpin kedepannya,"['prabowo', 'hati', 'nurani', 'bijaksana', 'taruh', 'dendam', 'lawan', 'politik', 'jiwa', 'negarawan', 'yg', 'peduli', 'rakyat', 'layak', 'panutan', 'motifasi', 'pejabatpemimpin', 'depan']"
insyaallah indonesia banyak perubahan dan sesuai ramalan di bergai pihak bahwa insyaallah presiden ke  membawa perubahan nkri,"['insyaallah', 'indonesia', 'ubah', 'sesuai', 'ramal', 'gai', 'insyaallah', 'presiden', 'bawa', 'ubah', 'nkri']"
