text_clean,text_preprocess
alhamdulillah pak prabowo perjuanganmu tidak sia sia bapak,"['alhamdulillah', 'prabowo', 'juang', 'sia', 'sia']"
parabens novo presidente no vice preisdente indonesia,"['parabens', 'novo', 'presidente', 'no', 'vice', 'preisdente', 'indonesia']"
 trending  ,['trending']
bpk prabowo sangat ganteng berwibawa selamat bertugas pak ,"['bpk', 'prabowo', 'ganteng', 'wibawa', 'selamat', 'tugas']"
aku teh nontonnya di youtube tp katanya enaknya di tv emng iya ya,"['teh', 'nontonnya', 'youtube', 'tp', 'enak', 'tv', 'emng', 'iya', 'ya']"
a href bpk presiden yg bru tlg perhatikan kmi skolah didaerah pedalaman ,"['a', 'href', 'bpk', 'presiden', 'yg', 'bru', 'tlg', 'perhati', 'kmi', 'skolah', 'daerah', 'dalam']"
pak prabowo sehat ya pak ,"['prabowo', 'sehat', 'ya']"
pak prabowo sendirian aja pak bu titiek ngga ikut foto bareng pak,"['prabowo', 'aja', 'bu', 'titiek', 'ngga', 'foto', 'bareng']"
hormat saya selamat atas suksesnya strategi bapak presiden prabowo subiantoyang telah lulus di ajang capres dan cawapres hhidup hidupilah kamii sebagai rakyat yang membutuhkan pemimpin yang sigap dalam keluhan rakyatnyaq,"['hormat', 'selamat', 'sukses', 'strategi', 'presiden', 'prabowo', 'subiantoyang', 'lulus', 'ajang', 'capres', 'cawapres', 'hhidup', 'hidup', 'kami', 'rakyat', 'butuh', 'pimpin', 'sigap', 'keluh', 'rakyatnyaq']"
keren,['keren']
ga pake kertas pidato nya kerenn,"['ga', 'pake', 'kertas', 'pidato', 'nya', 'kerenn']"
vibes nya sukarno banget,"['vibes', 'nya', 'sukarno', 'banget']"
berat hati ini ya allah  selamat purna tugas pak jokowi jasa dan karya mu bakal tak ceritakan samapai anak cucuku kela bahwa indonesia punya presiden dari golongan masyarakat biasa dan merubah lebaik baik negri ini dengn semboyan sila ke  ,"['berat', 'hati', 'ya', 'allah', 'selamat', 'purna', 'tugas', 'jokowi', 'jasa', 'karya', 'mu', 'cerita', 'samapai', 'anak', 'cucu', 'kela', 'indonesia', 'presiden', 'golong', 'masyarakat', 'rubah', 'lebaik', 'negri', 'dengn', 'semboyan', 'sila']"
sama tolong pa prabowo penjara seberat beratnya yg korupsi penjaranya jangan di enakin bikin sengsara aja biar ada efek jera,"['tolong', 'pa', 'prabowo', 'penjara', 'berat', 'berat', 'yg', 'korupsi', 'penjara', 'enakin', 'bikin', 'sengsara', 'aja', 'biar', 'efek', 'jera']"
a href  a href lagu apa cik,"['a', 'href', 'a', 'href', 'lagu', 'cik']"
jokowi adalah putra terbaik indonesia yg adathe best my president kami bangga punya presiden seperti bapak,"['jokowi', 'putra', 'baik', 'indonesia', 'yg', 'adathe', 'best', 'my', 'president', 'bangga', 'presiden']"
bapak jokowi adalah presiden the best yg pernah saya tau bersedia berkorban buat rakyat indonesia ,"['jokowi', 'presiden', 'the', 'best', 'yg', 'tau', 'sedia', 'korban', 'rakyat', 'indonesia']"
pak jokowi rakyat akan selalu mencintaimu sampai kapanpun walau bapak sudah tidak menjabat lagi ,"['jokowi', 'rakyat', 'cinta', 'jabat']"
terima kasih pak jokowi ,"['terima', 'kasih', 'jokowi']"
harapannya jgn sampai ada nanti di buka kantor khusus urus ktp angin,"['harap', 'jgn', 'buka', 'kantor', 'khusus', 'urus', 'ktp', 'angin']"
tidak ada menteriwamen dari suku mandailing ,"['menteriwamen', 'suku', 'mandailing']"
 syukurlah menteri agama prof nasaruddin bukan ustadz intoleran haikal hassan,"['syukur', 'menteri', 'agama', 'prof', 'nasaruddin', 'ustadz', 'intoleran', 'haikal', 'hassan']"
selamat bertugas pak prabowo presiden ke   ri semoga amanah terima kasih banyak pak jokowi presiden ke   ri atas pengabdian selama  tahun memimpin dan membangun indonesia maju dan membaik,"['selamat', 'tugas', 'prabowo', 'presiden', 'ri', 'moga', 'amanah', 'terima', 'kasih', 'jokowi', 'presiden', 'ri', 'abdi', 'pimpin', 'bangun', 'indonesia', 'maju', 'baik']"
pas sambutan pak jokowi maruf amin para istri pda tepuk tangan kenceng bgt pas pak prabowo jga kenceng dan lama kenapa pas sambutan gibran kenapa yg tepuk tangan dikitada sorakan nya  pas istri nya disebut jga malah gada yg tepuk tangan sama sekali ,"['pas', 'sambut', 'jokowi', 'maruf', 'amin', 'istri', 'pda', 'tepuk', 'tangan', 'kenceng', 'bgt', 'pas', 'prabowo', 'jga', 'kenceng', 'pas', 'sambut', 'gibran', 'yg', 'tepuk', 'tangan', 'dikitada', 'sorak', 'nya', 'pas', 'istri', 'nya', 'jga', 'gada', 'yg', 'tepuk', 'tangan']"
semoga allah kabulkan segala cita cita  pak prabowo sehingga kesejahteraan bagi seluruh rakyat indonesia bisa terwujud sesuai harapan rakyat indonesia,"['moga', 'allah', 'kabul', 'cita', 'cita', 'prabowo', 'sejahtera', 'rakyat', 'indonesia', 'wujud', 'sesuai', 'harap', 'rakyat', 'indonesia']"
mantap tamu luar negri hafal semua semoga menjadi presiden yg amanah dan tanggung jawab the best my president,"['mantap', 'tamu', 'negri', 'hafal', 'moga', 'presiden', 'yg', 'amanah', 'tanggung', 'the', 'best', 'my', 'president']"
cuman pak prabowo yang saya akui ,"['cuman', 'prabowo', 'aku']"
alhamdulillah negeri ini kembali di pimpin oleh org asli keturunan nusantara,"['alhamdulillah', 'negeri', 'pimpin', 'org', 'asli', 'turun', 'nusantara']"
terimakasih pak jokowi widodo brselamat atas kepemimpinan anda  tahun memimpin bangsa inibrsehat sehat ya pak,"['terimakasih', 'jokowi', 'widodo', 'brselamat', 'pimpin', 'pimpin', 'bangsa', 'inibrsehat', 'sehat', 'ya']"
presiden selama lamanya bapak joko widodo i love u pak tiada presiden lagi bagiku selain pak jokowi,"['presiden', 'joko', 'widodo', 'i', 'love', 'u', 'tiada', 'presiden', 'bagi', 'jokowi']"
sehat sll the next presidenq jenderal purn h prabowo subianto,"['sehat', 'sll', 'the', 'next', 'presidenq', 'jenderal', 'purn', 'h', 'prabowo', 'subianto']"
dari yordania dan kerajaan belanda kok gak ada ya,"['yordania', 'raja', 'belanda', 'gak', 'ya']"
presiden mana si ini ,"['presiden', 'si']"
jalananya bagus ya hasil karya pak anies ga ada gerobag sampah sekarang,"['jalananya', 'bagus', 'ya', 'hasil', 'karya', 'anies', 'ga', 'gerobag', 'sampah']"
terimasih banyak pak jokowi,"['terimasih', 'jokowi']"
dalam pemerintahan terdapat tokoh tua yaitu presiden ri bapak prabowo dan tokoh muda wakil presiden bpk gibran dan ada menteri koordinator yg juga muda bapak ahy ini merupakan satu keselarasan yg indah semoga beliu beliu bisa bekerja keras dan saling melengkapi dan kelak beliu muda berdua bisa menjadi  pemimpin indonesia di masa depan ,"['perintah', 'tokoh', 'tua', 'presiden', 'ri', 'prabowo', 'tokoh', 'muda', 'wakil', 'presiden', 'bpk', 'gibran', 'menteri', 'koordinator', 'yg', 'muda', 'ahy', 'selaras', 'yg', 'indah', 'moga', 'beliu', 'beliu', 'keras', 'lengkap', 'kelak', 'beliu', 'muda', 'dua', 'pimpin', 'indonesia']"
selamat bertugas dan menjalankan amanah barubrbapak h prabowo subiantobrpresiden republik indonesiabrbrsemoga dapat menjalankan amanah dengan baik dan dapat mencapai tujuan nasional republik indonesiabrsemoga allah senantiasa memberkati menyertai dan melindungimubr               ,"['selamat', 'tugas', 'jalan', 'amanah', 'barubrbapak', 'h', 'prabowo', 'subiantobrpresiden', 'republik', 'indonesiabrbrsemoga', 'jalan', 'amanah', 'capai', 'tuju', 'nasional', 'republik', 'indonesiabrsemoga', 'allah', 'senantiasa', 'kati', 'serta', 'melindungimubr']"
selamat untuk pak prabowo dan pak gibran tuhan memberkati selalu terimasih banyak pak jokowi sedih sekali bapa tetap di hati,"['selamat', 'prabowo', 'gibran', 'tuhan', 'kati', 'terimasih', 'jokowi', 'sedih', 'bapa', 'hati']"
semoga bapak prabowo lebih tegas lagi kepada mereka yang menghina pimpinan negara,"['moga', 'prabowo', 'hina', 'pimpin', 'negara']"
selamat bertugas bapak presiden  harubahagiadan pastinya banggaakhirnya bapak bisa mencapai puncak kepemimpinan bawa indonesia jauh kedepan kami mendukungmu paksalam hormat,"['selamat', 'tugas', 'presiden', 'harubahagiadan', 'pasti', 'banggaakhirnya', 'capai', 'puncak', 'pimpin', 'bawa', 'indonesia', 'depan', 'dukung', 'paksalam', 'hormat']"
selamat bpk prabowobrbismillahirrahmanirrahim semoga presiden ri kita diberikan kesehatan dan dilimpahkan rahmat dan berkah dr allah dalam menjalankan tanggung jawabaamiin,"['selamat', 'bpk', 'prabowobrbismillahirrahmanirrahim', 'moga', 'presiden', 'ri', 'sehat', 'limpah', 'rahmat', 'berkah', 'dr', 'allah', 'jalan', 'tanggung', 'jawabaamiin']"
congratulations,['congratulations']
selamat datang my presiden bp prabowo subianto selama t berjuang utk membawa indonesia lebih maju dan lebih baik juga smoga tetap sehat dan membawa kebahagiaan bagi nasib dan kehidupan rakyat indonesia terkhusus kaum marginal rakyat kecil dan semoga smua pembantu bp mentri mentri bisa menjalankan tugas yang diamanatkan bapak dengan berjalan lurus  bersih jujur tidak  memanfaatkan jabatan kementrian utk keuntungan pribadi kelompok ato golongan sekali lagi teririmg doa rakyat indonesia smoga paraentri mampu juga mengimbangi semangat bp presiden yang sangat semangat dan luar biasa  sekali lagi selamat datang presiden dan wakil presiden ku,"['selamat', 'my', 'presiden', 'bp', 'prabowo', 'subianto', 't', 'juang', 'utk', 'bawa', 'indonesia', 'maju', 'smoga', 'sehat', 'bawa', 'bahagia', 'nasib', 'hidup', 'rakyat', 'indonesia', 'khusus', 'kaum', 'marginal', 'rakyat', 'moga', 'smua', 'bantu', 'bp', 'tri', 'tri', 'jalan', 'tugas', 'amanat', 'jalan', 'lurus', 'bersih', 'jujur', 'manfaat', 'jabat', 'tri', 'utk', 'untung', 'pribadi', 'kelompok', 'ato', 'golong', 'teririmg', 'doa', 'rakyat', 'indonesia', 'smoga', 'paraentri', 'imbang', 'semangat', 'bp', 'presiden', 'semangat', 'selamat', 'presiden', 'wakil', 'presiden', 'ku']"
selamat pak prabowo mantaap,"['selamat', 'prabowo', 'mantaap']"
semua rakyat berharap bpk prabowo dg ibu tietik  bersatu kembali sehingga rakyat punya bapak dan ibu,"['rakyat', 'harap', 'bpk', 'prabowo', 'dg', 'tietik', 'satu', 'rakyat']"
awok awok nya ganggu banget ,"['awok', 'awok', 'nya', 'ganggu', 'banget']"
pak akhirnya gk ragu lagi buat jalan dikarpet merahh ya pak,"['gk', 'ragu', 'jalan', 'karpet', 'merahh', 'ya']"
jadi lh pemimpin yg dekat sama rakyt pak kita semua yakin  bahwa kita nggk salh pilih,"['lh', 'pimpin', 'yg', 'rakyt', 'nggk', 'salh', 'pilih']"
pak prabowo sangat mengargai berjalan di belakang jokowi saat pidatobrbrbandingkan ,"['prabowo', 'mengargai', 'jalan', 'jokowi', 'pidatobrbrbandingkan']"
prabowo  gibran ,"['prabowo', 'gibran']"
a href huiuuuu,"['a', 'href', 'huiuuuu']"
menit   a href   abah garis keras manyun aja di kau  kenapa abah ,"['menit', 'a', 'href', 'abah', 'garis', 'keras', 'manyun', 'aja', 'kau', 'abah']"
a href momen saat prabowo presiden ri menyebut nama lengkap  gelar kebesaran sultan brunei dengan jelas dan tanpa kesalahan ditambah pelafalan arabnya tidak ada yg salah juga luar biasa,"['a', 'href', 'momen', 'prabowo', 'presiden', 'ri', 'sebut', 'nama', 'lengkap', 'gelar', 'besar', 'sultan', 'brunei', 'salah', 'tambah', 'lafal', 'arab', 'yg', 'salah']"
ya benarsaya orang arab asli madinah saya warga negara arab saudisaya mendengarkan pak presiden prabowodia mengucapkan kata arab dengan benar,"['ya', 'benarsaya', 'orang', 'arab', 'asli', 'madinah', 'warga', 'negara', 'arab', 'saudisaya', 'dengar', 'presiden', 'prabowodia', 'arab']"
saya cuman mengakui pak prabowo saja gibran gada gunakosong,"['cuman', 'aku', 'prabowo', 'gibran', 'gada', 'gunakosong']"
pak prabowo pas manggil tamu itu bukan hafal bros ada teknologi yang namanya teleprompter google it,"['prabowo', 'pas', 'manggil', 'tamu', 'hafal', 'bros', 'teknologi', 'nama', 'teleprompter', 'google', 'it']"
terlalu banyak kabinet berantakanbukti keserakahan prabowo subianto,"['kabinet', 'berantakanbukti', 'serakah', 'prabowo', 'subianto']"
tolong dicancel tapera pak,"['tolong', 'dicancel', 'tapera']"
semoga amanah dan semoga indonesia kita bisa lebih maju serta paraquot pejabat serta anggota pemerintahn bisa bersikap adil terhadap rakyatnya,"['moga', 'amanah', 'moga', 'indonesia', 'maju', 'paraquot', 'jabat', 'anggota', 'pemerintahn', 'sikap', 'adil', 'rakyat']"
indonesia raya yg pertama jelek banget bawaiinnya pada grogi kali ya,"['indonesia', 'raya', 'yg', 'jelek', 'banget', 'bawaiinnya', 'grogi', 'kali', 'ya']"
selamat kepada bapak prabowo dan mas gibran atas pelantikan presiden dan wakil presiden  semoga dapat menjalankan amanah seluruh rakyat indonesialanjutkan program yg dulu sampai selesai ya pakselamat bekerja semoga allah swt melancarkan tugas bapak prabowo dan mas gibran amin yrauntuk bapak jokowi terima kasih atas kerja kerasnya untuk bangsa dan negarasemoga kerja keras ini mendapatkan pahala yg berlimpah utk pak jokowi amin yraselamat beristirahat momong cucu ya paksalam hangat dari saya di surabaya utk bpk dan keluarga,"['selamat', 'prabowo', 'mas', 'gibran', 'lantik', 'presiden', 'wakil', 'presiden', 'moga', 'jalan', 'amanah', 'rakyat', 'indonesialanjutkan', 'program', 'yg', 'selesai', 'ya', 'pakselamat', 'moga', 'allah', 'swt', 'lancar', 'tugas', 'prabowo', 'mas', 'gibran', 'amin', 'yrauntuk', 'jokowi', 'terima', 'kasih', 'kerja', 'keras', 'bangsa', 'negarasemoga', 'kerja', 'keras', 'pahala', 'yg', 'limpah', 'utk', 'jokowi', 'amin', 'yraselamat', 'istirahat', 'momong', 'cucu', 'ya', 'paksalam', 'hangat', 'surabaya', 'utk', 'bpk', 'keluarga']"
sangat berwibawa bapakk,"['wibawa', 'bapakk']"
lagu ini yang cocok  demokrasi funky by rap project,"['lagu', 'cocok', 'demokrasi', 'funky', 'by', 'rap', 'project']"
selamat buat pak prabowo dan pak gibran  jadi lah pemimpin yang baik bagi kami rakyat indonesia ini  brserta banyak terima kasih untuk pak jokowi  dan pak maaruf  saya   dari rakyat indonesia mengucapkan terima kasih atas kepemimpian bapak  tahun ini ,"['selamat', 'prabowo', 'gibran', 'pimpin', 'rakyat', 'indonesia', 'brserta', 'terima', 'kasih', 'jokowi', 'maaruf', 'rakyat', 'indonesia', 'terima', 'kasih', 'mimpi']"
parlemen yaa ginilahaslinya omongan gus dur tk nusantara ini ,"['parlemen', 'yaa', 'ginilahaslinya', 'omong', 'gus', 'dur', 'tk', 'nusantara']"
love you pak prabowo,"['love', 'you', 'prabowo']"
alhamdulillah semoga negara indonesia nusantara kita semakin jaya semakin tangguh diberikan kemenangan perlindungan keberuntungan keberkahan dari sang maha kuasa pencipta alam semesta aamiin aamiin aamiin ya robbalalaamiin brbhineka tunggal ikabrnusantara indonesia bangsa negeri ku tercinta tanah airku indonesia ,"['alhamdulillah', 'moga', 'negara', 'indonesia', 'nusantara', 'jaya', 'tangguh', 'menang', 'lindung', 'untung', 'berkah', 'sang', 'maha', 'kuasa', 'cipta', 'alam', 'semesta', 'aamiin', 'aamiin', 'aamiin', 'ya', 'robbalalaamiin', 'brbhineka', 'tunggal', 'ikabrnusantara', 'indonesia', 'bangsa', 'negeri', 'ku', 'cinta', 'tanah', 'air', 'indonesia']"
pelanggar ham dan pelanggar konstitusi  gusti mboten sare,"['langgar', 'ham', 'langgar', 'konstitusi', 'gusti', 'mboten', 'sare']"
terima kasih pak jokowi presiden terbaik indonesia   sepanjang masa   banyak selamat presiden prabowo dan wakil presiden gibran  we love,"['terima', 'kasih', 'jokowi', 'presiden', 'baik', 'indonesia', 'selamat', 'presiden', 'prabowo', 'wakil', 'presiden', 'gibran', 'we', 'love']"
mantapp kedaulatan ada di tangan rakyat mandat diberikan kepada pemimpinnya dan pemimpin bekerja untuk rakyat ,"['mantapp', 'daulat', 'tangan', 'rakyat', 'mandat', 'pimpin', 'pimpin', 'rakyat']"
terima kasih untuk bapak persiden jokowikarena sudah memajukan negara indonesiayg selama ini sangat ketingalangini bisa maju dan di segani negara luar dan desaku juga ada kemajuan balik rumah jlnnya sudah bagusterima kasih bapak jokowi jawa yg di malaysia,"['terima', 'kasih', 'persiden', 'jokowikarena', 'maju', 'negara', 'indonesiayg', 'ketingalangini', 'maju', 'segani', 'negara', 'desa', 'maju', 'rumah', 'jlnnya', 'bagusterima', 'kasih', 'jokowi', 'jawa', 'yg', 'malaysia']"
benar kikis habis kkn di nkri ini ,"['kikis', 'habis', 'kkn', 'nkri']"
ga enak bener pas lagu indonesia raya di gedung dpr nada nya fals pas di awalny,"['ga', 'enak', 'bener', 'pas', 'lagu', 'indonesia', 'raya', 'gedung', 'dpr', 'nada', 'nya', 'fals', 'pas', 'awalny']"
harapan besar pada prabowo  gibran menuju indonesia emas dengan revolusi damai yg tegas dan berkeadilan ,"['harap', 'prabowo', 'gibran', 'indonesia', 'emas', 'revolusi', 'damai', 'yg', 'adil']"
omong kosong indonesia emas tanpa revolusi damai di negeri ini ,"['omong', 'kosong', 'indonesia', 'emas', 'revolusi', 'damai', 'negeri']"
amnesti kasus hukum terdahulu dan berlakukan hukum yang tegas dan berat dan pemiskinan bagi koruptor mulai besok ,"['amnesti', 'hukum', 'laku', 'hukum', 'berat', 'miskin', 'koruptor', 'besok']"
revolusi bidang hukum ,"['revolusi', 'bidang', 'hukum']"
pak jokowi terlihat bangga sekali dengan pak prabowo  setidaknya dia bs sedikir lega krn sdh meneruskan tongkat estafet kepemimpinan ngr ini ke tgn org yg tepat ,"['jokowi', 'bangga', 'prabowo', 'bs', 'kir', 'lega', 'krn', 'sdh', 'terus', 'tongkat', 'estafet', 'pimpin', 'ngr', 'tgn', 'org', 'yg']"
revolusi sistim pemerintahan indonesia ,"['revolusi', 'sistim', 'perintah', 'indonesia']"
luar biasa pk jokowi sdh mengabdi buat bangsa dan negara,"['pk', 'jokowi', 'sdh', 'abdi', 'bangsa', 'negara']"
a href kira kira siapa tuh ya yang nyorakin ,"['a', 'href', 'tuh', 'ya', 'nyorakin']"
semoga p jokowi selalu di lindungi allah swt dan p prabowo dan m gibran  menjadi pemimpin yang amanah,"['moga', 'p', 'jokowi', 'lindung', 'allah', 'swt', 'p', 'prabowo', 'm', 'gibran', 'pimpin', 'amanah']"
hari bersejarah buat republik indonesiaperlantikan presiden baharusalam dari malaysia,"['sejarah', 'republik', 'indonesiaperlantikan', 'presiden', 'baharusalam', 'malaysia']"
selamat pagi selamat buat bpk prabowo dan gibran menjadi presiden ri dan wakil presiden ri semoga menjadi pemimpin negara indonesia membangun indonesia lebih baik lagi kedepan semoga tuhan selalu menjaga dan melindungi pak prabowo subianto dan gibran menjadi tanggung jawab,"['selamat', 'pagi', 'selamat', 'bpk', 'prabowo', 'gibran', 'presiden', 'ri', 'wakil', 'presiden', 'ri', 'moga', 'pimpin', 'negara', 'indonesia', 'bangun', 'indonesia', 'depan', 'moga', 'tuhan', 'jaga', 'lindung', 'prabowo', 'subianto', 'gibran', 'tanggung']"
presiden ri hprabowo subianto insallah ini presiden yg bakal membawa indonesia lbh lbh maju dan hebat,"['presiden', 'ri', 'hprabowo', 'subianto', 'insallah', 'presiden', 'yg', 'bawa', 'indonesia', 'lbh', 'lbh', 'maju', 'hebat']"
semoga apa yang pak prabowo sampaikan bisa tercapai kita sudah lama menderita bangsa yang besar harus di pimpin oleh orang orang hebat semoga dengan di lantik nya persiden dan wakil presiden kita indonesia bisa maju dan sejahtera bukan hanya di pulau jawa saja semoga seluruh rakyat indonesia makmur dan sejahtera amin,"['moga', 'prabowo', 'capai', 'derita', 'bangsa', 'pimpin', 'orang', 'orang', 'hebat', 'moga', 'lantik', 'nya', 'persiden', 'wakil', 'presiden', 'indonesia', 'maju', 'sejahtera', 'pulau', 'jawa', 'moga', 'rakyat', 'indonesia', 'makmur', 'sejahtera', 'amin']"
a href  a href  a href,"['a', 'href', 'a', 'href', 'a', 'href']"
selamat atas dilantiknya bp prabowo subiyanto dan gibran rakabuming raka brsebagai presiden dan wskil presiden terpilihbrsemoga amanah dan mebawa rakyat indonesia lebih maju dan makmur sejahtera serta berakhlakul karimah aamiin,"['selamat', 'lantik', 'bp', 'prabowo', 'subiyanto', 'gibran', 'rakabuming', 'raka', 'brsebagai', 'presiden', 'wskil', 'presiden', 'terpilihbrsemoga', 'amanah', 'mebawa', 'rakyat', 'indonesia', 'maju', 'makmur', 'sejahtera', 'berakhlakul', 'karimah', 'aamiin']"
selamat bertugas bapak,"['selamat', 'tugas']"
semoga indonesia akan lbh baik dan adl makmur loh jinawi presiden pilihanku wakl dr seluruh rakyat indonesia mewakili yg tua waklnya mewakili generas muda maju indonesia ku,"['moga', 'indonesia', 'lbh', 'adl', 'makmur', 'loh', 'jawi', 'presiden', 'pilih', 'wakl', 'dr', 'rakyat', 'indonesia', 'wakil', 'yg', 'tua', 'waklnya', 'wakil', 'generas', 'muda', 'maju', 'indonesia', 'ku']"
umat yaman dan umat uban mana suaranya ,"['umat', 'yaman', 'umat', 'uban', 'suara']"
nikita mirzani jadi ibu negara  pemersatu bangsa,"['nikita', 'mirzani', 'negara', 'satu', 'bangsa']"
pak prabowo tegas ,['prabowo']
seperti perpisahan dengan pak sby sama pak jokowi waktu di  tapi dia tinggal di cikeas bukan di solo,"['pisah', 'sby', 'jokowi', 'tinggal', 'cikeas', 'solo']"
dan patut menjadi contoh kepempinan nabi besar kita muhammad solallahu waalahi wassalam arif adil dan bijaksana dan kasih sayang nya pada umat nya,"['patut', 'contoh', 'kepempinan', 'nabi', 'muhammad', 'solallahu', 'waalahi', 'wassalam', 'arif', 'adil', 'bijaksana', 'kasih', 'sayang', 'nya', 'umat', 'nya']"
presiden di pilih rakyat maka itu sayangilah rakyat  kuasa nya akan langgeng,"['presiden', 'pilih', 'rakyat', 'sayang', 'rakyat', 'kuasa', 'nya', 'langgeng']"
negara serasa titipan anak,"['negara', 'serasa', 'titip', 'anak']"
dan brantas kepentingan oli gargi hanya kepentingan pengusaha induvidu dan nepotisme harapan kami sbg rakyat indonesia benerquot merdeka amin,"['brantas', 'penting', 'oli', 'gargi', 'penting', 'usaha', 'induvidu', 'nepotisme', 'harap', 'sbg', 'rakyat', 'indonesia', 'benerquot', 'merdeka', 'amin']"
bapakku pak jokowi aku mencintaimu selamanya  slam dari flores aku mencintai pak jokowi,"['bapak', 'jokowi', 'cinta', 'slam', 'flores', 'cinta', 'jokowi']"
menyala presiden ku  bravo ,"['nyala', 'presiden', 'ku', 'bravo']"
host anggi dj cakep cuy senyuman nya gak kuat,"['host', 'anggi', 'dj', 'cakep', 'cuy', 'senyum', 'nya', 'gak', 'kuat']"
dan tegak kan  sila menuju masyahrakat yg adil dan sejahterah tegak hukum yg gegas jgn pandang bulubrantas koruptor  demi super madi hukum yg tegas ngentaskan kemiskinan menuju indonesia emas bagi seluruh rakyat indonesia aman dan adil,"['tegak', 'sila', 'masyahrakat', 'yg', 'adil', 'sejahterah', 'tegak', 'hukum', 'yg', 'gegas', 'jgn', 'pandang', 'bulubrantas', 'koruptor', 'super', 'madi', 'hukum', 'yg', 'ngentaskan', 'miskin', 'indonesia', 'emas', 'rakyat', 'indonesia', 'aman', 'adil']"
nyanyi indonesia raya kayak asal asalan,"['nyanyi', 'indonesia', 'raya', 'kayak', 'asal']"
alhamdulilah terpilih nya bpk prabowo sbg presiden ribrdgn slamet serta dlm lindungan allah swt amin  ya rob,"['alhamdulilah', 'pilih', 'nya', 'bpk', 'prabowo', 'sbg', 'presiden', 'ribrdgn', 'slamet', 'dlm', 'lindung', 'allah', 'swt', 'amin', 'ya', 'rob']"
selamat bertugas kepada bapak prabowo dan bapak rakabuming raka semoga diberi kekuatan untuk mengemban tugastugas negara sebagai presiden dan wakil presiden republik indonesiabrtetapi mengapa jasa presiden soeharto tidak disebut apakah beliau tidak mempunyai jasa sama sekali atau bagian dari komunikasi politikbrterima kasih,"['selamat', 'tugas', 'prabowo', 'rakabuming', 'raka', 'moga', 'kuat', 'emban', 'tugastugas', 'negara', 'presiden', 'wakil', 'presiden', 'republik', 'indonesiabrtetapi', 'jasa', 'presiden', 'soeharto', 'beliau', 'jasa', 'komunikasi', 'politikbrterima', 'kasih']"
dari pertama bapak mencalon kan jadi presiden saya sudah menunggu momen ini pak dan akhir nya kesampaian keren pak sumpah keren ,"['calon', 'presiden', 'tunggu', 'momen', 'nya', 'keren', 'sumpah', 'keren']"
ngeri sih didikan nya bisa bisa nya seorang anak presiden yg udah tua begitu ke pada yg lebih tua salaman nya nunduk mantap sekali beda kelas emang kalau yg mimpin beliau,"['ngeri', 'sih', 'dik', 'nya', 'nya', 'anak', 'presiden', 'yg', 'udah', 'tua', 'yg', 'tua', 'salam', 'nya', 'nunduk', 'mantap', 'beda', 'kelas', 'emang', 'yg', 'mimpin', 'beliau']"
pak prabowo subianto presiden ri is the best,"['prabowo', 'subianto', 'presiden', 'ri', 'is', 'the', 'best']"
a href pengambilan sumpah presiden republik indonesia,"['a', 'href', 'ambil', 'sumpah', 'presiden', 'republik', 'indonesia']"
seperti melihat soekarno ber orasi,"['soekarno', 'ber', 'orasi']"
semoga bpk sehat selalu dan panjang umur dan bisa meneruskan pejuangan pendahulu bangsa inimerdeka merdekan merdeka,"['moga', 'bpk', 'sehat', 'umur', 'terus', 'juang', 'dahulu', 'bangsa', 'inimerdeka', 'merdekan', 'merdeka']"
pria gagah ini brbisa mengakui kehebatan lawannya beberapa tahun yang lalu,"['pria', 'gagah', 'brbisa', 'aku', 'hebat', 'lawan']"
terimakasih pak jokowi sudah menjadi ri selama  tahun jujur saya gk merasakan apapun mungkin buat orng lain ada merasakanbrbrselamat untuk pak prabowo yg saat ini telah dilantik menjadi ri semoga apa yg diharapkan masyarakat bisa terwujud,"['terimakasih', 'jokowi', 'ri', 'jujur', 'gk', 'rasa', 'apa', 'orng', 'merasakanbrbrselamat', 'prabowo', 'yg', 'lantik', 'ri', 'moga', 'yg', 'harap', 'masyarakat', 'wujud']"
selamat,['selamat']
     brselamat jalan pak jokowi menuju pulang dan semoga selamat sampai tujuan dan terima kasih banyak atas pengabdian selama  periode dan semoga periode yang akan datang sekarang diteruskan sama bapak presiden prabowo juga wakilnya semoga negara kami subur makmur di madinah loh jinawi amin ya robbal alamin ,"['brselamat', 'jalan', 'jokowi', 'pulang', 'moga', 'selamat', 'tuju', 'terima', 'kasih', 'abdi', 'periode', 'moga', 'periode', 'terus', 'presiden', 'prabowo', 'wakil', 'moga', 'negara', 'subur', 'makmur', 'madinah', 'loh', 'jawi', 'amin', 'ya', 'robbal', 'alamin']"
terima kasihbrbpk joko widodobrselamatbrbpk prabowo subianto dan bpk gibran rakabuming raka,"['terima', 'kasihbrbpk', 'joko', 'widodobrselamatbrbpk', 'prabowo', 'subianto', 'bpk', 'gibran', 'rakabuming', 'raka']"
main mata pak prabowo mantap bener,"['main', 'mata', 'prabowo', 'mantap', 'bener']"
amin   seomoga  terwujud,"['amin', 'seomoga', 'wujud']"
nyatanya masih banyak yang kesusahan merdeka,"['susah', 'merdeka']"
itu baru produk lokal bukan esemka,"['produk', 'lokal', 'esemka']"
semoga amanah,"['moga', 'amanah']"
jangan lupa pak budiman sudjatmiko pak,"['lupa', 'budiman', 'sudjatmiko']"
keren pak bowo menyebut kan tanpa melihat atau membaca catatan setiap para orang ternama yg hadir,"['keren', 'bowo', 'sebut', 'baca', 'catat', 'orang', 'nama', 'yg', 'hadir']"
